index,title,singers,genre,from
71,Deserto (Ao Vivo),Maria Marçal,Christian & Gospel,Brasil
72,Barbie Girl,Aqua,Pop,Brasil
74,Deserto,Arianne,Gospel,Brasil
75,Assim É Ser Criança,Mundo Bita,Children's Music,Brasil
76,I'm Still Standing (Remastered),Elton John,Pop,Brasil
77,Quem Não Conhece Tá Sem Internet,"MC Marks, DJ BOY,DJ GM",Brazilian,Brasil
79,I Really Want to Stay At Your House,"Rosa Walton,Hallie Coggins",Soundtrack,Brasil
80,Set Tatuapé Conceito 2,"Mc Joaozinho VT, DJ BOY, DJ GM,MC Ryan SP",Baile Funk,Brasil
81,Comunicação Falhou (Ao Vivo),"Mari Fernandez,Nattan",Sertanejo,Brasil
82,Isso É Calypso (Ao Vivo),Joelma,Forró,Brasil
83,Saturday Night,Natalia Kills,Pop,Brasil
84,Don't Cha (Ralphi's Hot Freak Radio Mix),The Pussycat Dolls,Fitness & Workout,Brasil
85,Beat Automotivo Tan Tan Tan Viral,WZ Beat,Baile Funk,Brasil
86,Nada De Novo,Paulinho da Viola,Samba,Brasil
87,Algo De Mí,Franco Masini,Pop,Brasil
88,Eye For An Eye (feat. Rafael Jannotti),Evokings,Electronic,Brasil
89,Walk On,Boston,Rock,Brasil
90,Iced Tea,"Joyce Wrice,KAYTRANADA","R&B,Soul",Brasil
91,Lisboa Freestyle,Greg Ferreira,"Hip Hop,Rap",Brasil
92,Phoenix,Night Tales,Dance,Brasil
93,Invane,"Spag Heddy,Viperactive",Dubstep,Brasil
94,Adorarei (feat. Kellen Byanca),"Valesca Mayssa, Stella Laura,Nathália Braga",Christian & Gospel,Brasil
95,Homem Do Meu Tempo,Felipe Grilo,Sertanejo,Brasil
96,Cisco no Olho,"Thiago Aquino,Unha Pintada",Sertanejo,Brasil
97,Serenata (Ao Vivo),Henry Freitas,Forró,Brasil
98,100 Mili,"EBONY,LARINHX","Hip Hop,Rap",Brasil
99,Não Te Quero Mais (Ao Vivo),Eric Land,Brazilian,Brasil
100,Sincero (Ao Vivo),Eric Land,Brazilian,Brasil
6,Flowers Need Rain,"Preston Pablo,Banx,Ranx",Pop,Canada
7,Run Away to Mars,TALK,Rock,Canada
19,Can't Fight the Moonlight,LeAnn Rimes,Soundtrack,Canada
23,Don't You (Forget About Me),Simple Minds,Soundtrack,Canada
31,She Keeps Me Up,Nickelback,Rock,Canada
32,Blaze of Glory,Bon Jovi,Soundtrack,Canada
36,All The Small Things,blink-182,Rock,Canada
48,I Found You,Nate Smith,Country,Canada
55,Bam Bam (feat. Ed Sheeran),Camila Cabello,Pop,Canada
56,The Right Kind of Wrong,LeAnn Rimes,Soundtrack,Canada
57,"Hold My Hand (Music From The Motion Picture ""Top Gun: Maverick"")",Lady Gaga,Pop,Canada
61,Thunderstruck,AC/DC,Hard Rock,Canada
70,Whiskey On You,Nate Smith,Country,Canada
72,Glimpse of Us,Joji,Pop,Canada
73,Come Back Home,Sofia Carson,Soundtrack,Canada
74,Violet (feat. Killa),Connor Price,"Hip Hop,Rap",Canada
76,Valhalla Calling (feat. Peyton Parrish) [Duet Version],Miracle of Sound,Heavy Metal,Canada
77,Knock Off,Jess Moskaluke,Country,Canada
78,Enough,charlieonnafriday,Pop,Canada
87,I Surrender,Jeanick Fournier,Adult Contemporary,Canada
91,San Quentin,Nickelback,Rock,Canada
92,Escape (feat. Hayla),"Kx5, deadmau5,Kaskade",Dance,Canada
93,Where It Ends,Bailey Zimmerman,Country,Canada
95,You Got the Wrong Guy,Dean Brody,Country,Canada
96,Light My Fire (feat. Gwen Stefani & Shenseea),Sean Paul,Pop,Canada
98,Havana (feat. Young Thug),Camila Cabello,Pop,Canada
99,Man! I Feel Like a Woman!,Shania Twain,Country,Canada
100,I Will Survive,Gloria Gaynor,Pop,Canada
2,Kun Med Dig,Malte Ebert,Pop,Denmark
7,2 Die 4,Tove Lo,Pop,Denmark
8,Flyvende Faduma,Tobias Rahim,Pop,Denmark
11,Massive,Drake,Dance,Denmark
12,Kisimeerusaarlunga (2005),Tomba,Alternative Rap,Denmark
13,STOR MAND (feat. andreas odbjerg),Tobias Rahim,Pop,Denmark
14,hvad skal verden med sådan en som mig?,andreas odbjerg,Pop,Denmark
15,Kalde Dem for Du,Malte Ebert,Pop,Denmark
16,Stronger (What Doesn't Kill You),Kelly Clarkson,Pop,Denmark
17,Amager Forbrænding,Carl Emil Petersen,Rock,Denmark
18,Hold Me Closer (Joel Corry Remix),"Elton John,Britney Spears",Dance,Denmark
19,Aappaluttunik Siggulinnguaq,Olsen Kids,Pop,Denmark
20,Stay With Me,"Calvin Harris, Justin Timberlake, Halsey,Pharrell Williams",Dance,Denmark
22,Engangspik,Tessa,"Hip Hop,Rap",Denmark
24,BAGLÆNS,D1MA,"Hip Hop,Rap",Denmark
25,One Dance (feat. Wizkid & Kyla),Drake,"Hip Hop,Rap",Denmark
27,Mucki Bar,Tobias Rahim,Pop,Denmark
28,Juice,Blæst,Pop,Denmark
30,Kisivit (feat. Tûtu),Andachan,Dance,Denmark
34,Tro På Kærlighed,Gobs,"Hip Hop,Rap",Denmark
36,Disco Numberwang (feat. Amy Douglas),"Jean Aubergine,Dave Lee",House,Denmark
37,Ritmação da Putaria,Mc Kitinho,Brazilian,Denmark
38,Quiero Decirte (Bachata Remix),"Abraham Mateo, Ana Mena,DJ C",Pop in Spanish,Denmark
39,Call Me Maybe,Carly Rae Jepsen,Pop,Denmark
40,Feel This Moment (feat. Christina Aguilera),Pitbull,Pop,Denmark
41,Low (feat. T-Pain),Flo Rida,"Hip Hop,Rap",Denmark
42,Hot!,"Nik,Jay",Pop,Denmark
43,i morgen er der også en dag,andreas odbjerg,Pop,Denmark
44,One Kiss,"Calvin Harris, Dua Lipa",Dance,Denmark
45,rockstar (feat. 21 Savage),Post Malone,"Hip Hop,Rap",Denmark
46,Midt Om Natten,Kim Larsen,Pop,Denmark
47,Titanium (feat. Sia) [Extended],David Guetta,Dance,Denmark
48,Behind Blue Eyes,Limp Bizkit,Hard Rock,Denmark
49,Sweet Caroline (Single Version) [Bonus Track],DJ Ötzi,German Pop,Denmark
50,Breakaway,Kelly Clarkson,Pop,Denmark
52,(I Just) Died in Your Arms Tonight,Cutting Crew,Rock,Denmark
53,Feberdrømmer Xx Dubai,Tobias Rahim,Pop,Denmark
54,Ben,Tessa,"Hip Hop,Rap",Denmark
55,Under Din Sne,The Minds Of 99,Rock,Denmark
56,Human,Christina Perri,Pop,Denmark
57,Many Men (Wish Death),50 Cent,"Hip Hop,Rap",Denmark
59,"Gode Dage, Gode Drinks",Lamin,"Hip Hop,Rap",Denmark
61,Naasunnguusunga,Naja P,Pop,Denmark
62,Den Dejligste Boy,Benjamin Hav,"Hip Hop,Rap",Denmark
63,Danser Med Piger,Danser Med Piger,Pop,Denmark
64,Somebody to Love,Jefferson Airplane,Rock,Denmark
66,Når Mænd Græder,Tobias Rahim,Pop,Denmark
67,Closer,Ne-Yo,"R&B,Soul",Denmark
68,Oqaannarsinnaasuuguma,Enok Poulsen,Pop,Denmark
69,How Long Will I Love You (Bonus Track),Ellie Goulding,Pop,Denmark
70,Verden Vågner,"Gilli,Saveus",Pop,Denmark
73,For My Hand (feat. Ed Sheeran),Burna Boy,"Hip Hop,Rap",Denmark
74,Electric Motion,Drew Sycamore,Pop,Denmark
77,Miami Vicer,Gilli,"Hip Hop,Rap",Denmark
79,Inuuneq illit,Muusi,Pop,Denmark
81,Don't Say My Name And Forget It Again,Jada,Pop,Denmark
82,Baianá,Gilli,"Hip Hop,Rap",Denmark
83,Nuttin Nuh Go So,Notch,Modern Dancehall,Denmark
84,Livstegn,Rasmus Seebach,Pop,Denmark
86,Can You Feel the Love Tonight (End Title),Elton John,Soundtrack,Denmark
87,Ghost,Justin Bieber,Pop,Denmark
88,Mamas,"Anne Wilson,Hillary Scott",Christian & Gospel,Denmark
89,Drugs From Amsterdam,Mau P,Dance,Denmark
90,Drunk,Ameli Dot,Pop,Denmark
92,Ghost of You,Mimi Webb,Pop,Denmark
93,Blodbold (Stillaharuligan) [feat. Simon Kvamm],Lidt til Lægterne,Pop,Denmark
94,Asasara,Liima Inui,Rock,Denmark
95,Heaven,Calum Scott,Pop,Denmark
96,Brænd mig som en feber (fra TV2 serien Hvide Sande),Katinka Bjerregaard,Pop,Denmark
98,Miss You,"Oliver Tree,Robin Schulz",Dance,Denmark
99,Tell Me Why (Meduza Extended Remix),Supermode,Dance,Denmark
100,Lover of Mine,Louyah,"Singer,Songwriter",Denmark
2,Villieläin,Ramses II,Pop,Finland
4,Tippa-T,"Turisti,Elastinen","Hip Hop,Rap",Finland
5,Elämän ABC,Portion Boys,Dance,Finland
8,Paint It Black,Smack,Rock,Finland
10,Marraskuu,Pasi ja Anssi,Pop,Finland
11,Skene (feat. Sexmane & Victor Nordis),Ege Zulu,"Hip Hop,Rap",Finland
12,Elämänlangat,Lauri Tähkä,Pop,Finland
13,Huone 105,Kikka,Pop,Finland
14,Tulipalo,Kuumaa,Pop,Finland
15,Tanssi Tyttö Tanssi,Dilemma,"Hip Hop,Rap",Finland
17,Kaikella on tarkoitus,Lauri Tähkä,Pop,Finland
18,Tequilakahvi,Bee,Pop,Finland
19,Käyrä Nousemaan,Kikka,Pop,Finland
20,Vanity,Christina Aguilera,Pop,Finland
21,Bless the Child (Live),Nightwish,Hard Rock,Finland
22,Pills N Potions,Nicki Minaj,"Hip Hop,Rap",Finland
23,Overdrive,Far Out,Dance,Finland
24,Home Sweet Home (Live),Mötley Crüe,Hard Rock,Finland
25,Stay Chisel,Large Professor,"Hip Hop,Rap",Finland
26,(I Love) Lucy,Albert King,Blues,Finland
27,Cold Feet,Albert King,Blues,Finland
28,White Worms,Stone,Rock,Finland
29,I'd Love You To Want Me,Lobo,Pop,Finland
30,Im Maien,Joculatores Upsalienses,Classical,Finland
31,R.A.V.E.,"G Jones,Eprom",Electronic,Finland
32,But U (feat. Izzy Bizu),"Voost,Parx",Dance,Finland
33,Keep On Dancing,"StadiumX, Kelvin River,Twan Ray",Dance,Finland
34,Love2Love (with S.E.X.Appeal) [Radio Version],Startastic,Dance,Finland
35,Paranoid (Crash & Burn),Pop Evil,Rock,Finland
36,Bier (Tirol Dump) (feat. Daim Vega),DJ Maurice,Folk,Finland
37,From the Hill,Nation of Language,Alternative,Finland
38,Whore 1983,In This Moment,Rock,Finland
39,Vazgeçtim,"Nilipek.,Taner Yücel",Indie Pop,Finland
40,Our Own (feat. Micah Martin),Far Out,Electronic,Finland
41,Fullkomið Líf,Eurobandið,Pop,Finland
42,You Are Mine,Jay Robinson,"R&B,Soul",Finland
43,Le mariage forcé,Star Feminine Band,African,Finland
44,Ainoa oikea,Mara Balls,Indie Rock,Finland
45,This Is My Life,Eurobandið,Pop,Finland
46,Big in Japan (feat. Tony T) [Laurent Simeca Remix],"Sean Finn,Taner Ozturk",Dance,Finland
47,Ackerman Style,"Franco Aurelio,Prbtre","Hip Hop,Rap",Finland
48,Neon,Electric Callboy,Heavy Metal,Finland
49,Itäväylä,Nelma U,Pop,Finland
50,Out of the Shadows,"Da Tweekaz, Hard Driver,Coone",Dance,Finland
51,Changed My Mind,Scheppertus,Techno,Finland
52,A la gloire des femmes en deuil,Mathilde,French Pop,Finland
53,On Your Way,Dwayne Abbottyn,Electronic,Finland
54,Policy Live Journey,Dwayne Abbottyn,Electronic,Finland
55,The Courts Power,Dwayne Abbottyn,Electronic,Finland
56,The Parent of Heart,Dwayne Abbottyn,Electronic,Finland
57,The No Height,Dwayne Abbottyn,Electronic,Finland
58,Everglides,"TrackLab,yenss",Electronic,Finland
59,Slideflight,TrackLab,Electronic,Finland
60,"Always, Joni",Trousdale,Americana,Finland
61,Don't Give Up,"Retrovision,Guy Arthur",Dance,Finland
62,You (Reza Remix) [Reza Remix],Low Steppa,House,Finland
63,"Kerro miten se menee (feat. Heinis, Köyhä Jonne & Sairas T)",Likanen Etelä,"Hip Hop,Rap",Finland
64,Látigo,"Jowell,Randy",Latin,Finland
65,"Black Diamond (Live At B.C. Place Stadium, Vancouver/1999)",Kiss,Rock,Finland
66,Konayuki,Remioromen,J-Pop,Finland
67,To the Moon and Back (Breakdawner Vs Alex Loco Remix Edit),Discotronic meets Tevin,Dance,Finland
68,Shake,TrackLab,Electronic,Finland
69,Nineteen and Aimless,Joshua Lee Turner,Traditional Folk,Finland
70,Tropic,TrackLab,Electronic,Finland
71,Love dilemme (Radio Edit),Spleen,Pop,Finland
72,Carmine,FIT Siegel,Electronic,Finland
73,I Hear a Rhapsody,John Coltrane,Jazz,Finland
74,А тепер усе інакше,"The Faino,Aqua Vita",Pop,Finland
75,I Hope Your Husband Dies,Amigo the Devil,Folk,Finland
76,You Deserve Better (feat. Beck Pete),Mother's Daughter,Pop,Finland
77,Homeland,The High Kings,World,Finland
78,Demise,Kindrid,Electronic,Finland
79,Slush Puppy,King Krule,Alternative,Finland
80,Vague à l'âme (feat. Barbara Carlotti & Tristesse Contemporaine),Mutant,Electronic,Finland
81,Humppaa tai kuole! (Remastered Bonus),Eläkeläiset,World,Finland
82,Nicholas Patu,Piotr Wylezol,Jazz,Finland
83,Also sprach Zarahustra,T.S.O.,Soundtrack,Finland
84,Preludio de la Traviata,Paul Mauriat,Smooth Jazz,Finland
85,Sunshine Reggae,The Band,Dance,Finland
86,Domine exaudi,"Stephan MacLeod, Edda Breit, Jorg Sondermann,Triton Trombone Quartet",Classical,Finland
87,Danserye: Basse Danse: Danserye: Basse Danse: Entre Du Fol,Joculatores Upsalienses,Classical,Finland
88,"Pavane Sur la Bataille (Antwerp, 1571)",Joculatores Upsalienses,Classical,Finland
89,Danserye: Ronde: Danserye: Ronde: Il Estoit Une Filette,Joculatores Upsalienses,Classical,Finland
90,Come to My Aid (Survival Mix),Simply Red,Pop,Finland
91,Blowin' Up In the World,Kool G Rap,"Hip Hop,Rap",Finland
92,Dream,Soul Tempo,Vocal,Finland
93,Skyfall,Adele,Pop,Finland
94,Missä Muruseni On,Jenni Vartiainen,Pop,Finland
95,Everlasting Bomb,Widescreen Mode,Pop,Finland
96,Rolling In the Deep,Adele,Pop,Finland
97,Gangnam Style,PSY,Pop,Finland
98,Euphoria (Single Version),Loreen,Dance,Finland
99,Waka Waka (This Time for Africa) [The Official 2010 FIFA World Cup (TM) Song] [feat. Freshlyground],Shakira,Pop,Finland
100,Timantit On Ikuisia,Cheek,"Hip Hop,Rap",Finland
6,Don't You Worry,"Black Eyed Peas, Shakira,David Guetta",Pop,France
10,La goffa Lolita,La petite culotte,French Pop,France
11,PS : Je t'aime,Christophe Willem,French Pop,France
13,La recette,Slimane,French Pop,France
15,Te Amo (DJ Youcef Remix),"Calema,DJ Youcef",Pop,France
16,DIE,Gazo,"Hip Hop,Rap",France
17,Ce soir,Amir,French Pop,France
19,"Come Back Home (From ""Purple Hearts"")",Sofia Carson,Soundtrack,France
21,Un jour je marierai un ange,Pierre de Maere,French Pop,France
23,Bip Bip,Yanns,"Hip Hop,Rap",France
25,Confidence pour Confidence,Jean Schultheis,Pop,France
26,Et Bam,Mentissa,French Pop,France
27,Tout savoir,Adé,French Pop,France
30,Secret,Louane,French Pop,France
31,Shining Light,Aime Simone,Pop,France
33,Clap Your Hands,Kungs,Electronic,France
35,FADE UP (feat. Hamza & SCH),ZEG P,"Hip Hop,Rap",France
39,À toi,"M,Gail Ann Dorsey",French Pop,France
40,KU LO SA - A COLORS SHOW,Oxlade,"Hip Hop,Rap",France
41,This Is Not Our World (Ce n'est pas notre monde),"Moby,Indochine",Alternative,France
42,La grenade,Clara Luciani,French Pop,France
43,La kiffance,Naps,"Hip Hop,Rap",France
44,Suavemente,Soolking,"Hip Hop,Rap",France
45,"Courage to Change (From the Motion Picture ""Music"")",Sia,Pop,France
46,Il voyage en solitaire,Alain Bashung,French Pop,France
49,The Way of the Tears,Muhammad Al Muqit,Spoken Word,France
50,Mon cœur,Izia,French Pop,France
54,Flamme,Juliette Armanet,French Pop,France
55,Le coup d'soleil (feat. Emma Peters),Bon Entendeur,Electronic,France
56,Nous,Anne Sila,French Pop,France
57,La boulette (Génération nan nan),Diam's,Pop,France
59,"Enemy (From the series ""Arcane League of Legends"")","Imagine Dragons, JID,League of Legends",Alternative,France
60,Rends l’amour !,Benjamin Biolay,French Pop,France
62,Vivre,Michel Berger,French Pop,France
65,Terra Corsa,"Corsu - Mezu Mezu, Patrick Fiori, Patrick Bruel, Florent Pagny,Jean-Charles Papi",French Pop,France
66,Quand ?,Trois Cafés Gourmands,French Pop,France
67,Des milliers de je t'aime,Slimane,French Pop,France
70,Une autre histoire,Gérard Blanc,French Pop,France
71,Aimer,Serge Lama,French Pop,France
72,Jerusalema (feat. Burna Boy & Nomcebo Zikode) [Remix],Master KG,Dance,France
73,U-Turn (Lili),AaRON,Alternative,France
74,Still Loving You,Scorpions,Hard Rock,France
75,Perfect,Ed Sheeran,Pop,France
76,Imagine,John Lennon,Pop,France
77,Back In Black,AC/DC,Hard Rock,France
78,Shut Up and Dance,WALK THE MOON,Alternative,France
79,Le Dernier Jour du Disco,Juliette Armanet,French Pop,France
80,Nos plus belles années,"Grand Corps Malade,Kimberose",French Pop,France
82,Love Generation (feat. Gary Pine),Bob Sinclar,Electronic,France
83,Clic clic pan pan,Yanns,"Hip Hop,Rap",France
84,Psycho Killer,Talking Heads,Alternative,France
85,Money For Nothing,Dire Straits,Pop,France
86,Sultans of Swing,Dire Straits,Rock,France
88,Jefe,Ninho,"Hip Hop,Rap",France
89,MAINTENANT,GIMS,Pop,France
90,Balader,"Soolking,Niska","Hip Hop,Rap",France
92,On a pris le temps,"Grand Corps Malade, Ben Mazué,Gaël Faye",French Pop,France
95,Tailler la route,"Grand Corps Malade, Ben Mazué,Gaël Faye",French Pop,France
96,"1, 2, 3 (feat. De La Ghetto & Jason Derulo)",Sofía Reyes,Pop in Spanish,France
97,Olé,Ridsa,French Pop,France
98,VIP,Aya Nakamura,"R&B,Soul",France
100,Désolé,Souf,"R&B,Soul",France
5,Heavy Metal Love,twocolors,Dance,Germany
16,Let It Rain Down (feat. PollyAnna),Alle Farben,Dance,Germany
22,Thank You,"Gestört aber GeiL,Anna Grey",Dance,Germany
25,Wer hat hier schlechte Laune,"Max Raabe,Palast Orchester",Pop,Germany
28,Kernkraft 400 (A Better Day),"Topic,A7S",Dance,Germany
34,Es ist alles ok,Roland Kaiser,German Pop,Germany
38,Layla,"DJ Robin,Schürze",German Pop,Germany
39,Roller,Apache 207,"Hip Hop,Rap",Germany
41,AUF AUF,Silbermond,Pop,Germany
42,Wildberry Lillet (Remix),"Nina Chuba,Juju","Hip Hop,Rap",Germany
47,Was auch immer passiert,"Kerstin Ott,Andrea Berg",German Pop,Germany
49,Move Your Body,"Öwnboss,SEVEK",Dance,Germany
50,Bamba (feat. BIA),"Luciano,Aitch","Hip Hop,Rap",Germany
52,Für diesen Moment,Alexander Eder,Pop,Germany
54,My Way,Frank Sinatra,Vocal Pop,Germany
55,In The Dark,"Purple Disco Machine,Sophie and the Giants",Dance,Germany
57,I Believe,KAMRAD,Pop,Germany
58,Einmal sehen wir uns wieder,Joel Brandenstein,Pop,Germany
59,Wir sagen danke schön,Die Flippers,German Pop,Germany
60,Ich hass dich,"Nina Chuba,Chapo102","Hip Hop,Rap",Germany
63,Guten Morgen Sonnenschein,Nana Mouskouri,Vocal,Germany
66,My Will Be Done,Powerwolf,Heavy Metal,Germany
67,In meinem Baumhaus (für Milas),Mr. EisT33,"Hip Hop,Rap",Germany
72,Third Wheel,Zoe Wees,Pop,Germany
73,Bring Me to Life,Evanescence,Rock,Germany
74,Infinity,Jaymes Young,Alternative,Germany
75,Der Zug hat keine Bremse (Mallorcastyle Edition),"Mia Julia, Lorenz Büffel,Malle Anja",German Pop,Germany
76,Dorflove,"Kreisligalegende, Honk!,Thekensportlerz",German Pop,Germany
79,Kann mich irgendjemand hör'n,"Die Schule der magischen Tiere, Lilith Julie Johna, Robin Haefs, Robin Kallenberger,Yanek Stärk",Pop,Germany
80,In Da Club,50 Cent,"Hip Hop,Rap",Germany
81,Olivia (feat. DJ Cashi),Die Zipfelbuben,German Pop,Germany
82,On Repeat,"Robin Schulz,David Guetta",Dance,Germany
83,With You,Michael Schulte,Pop,Germany
85,Stärker (feat. Zeynep Avci),Johannes Oerding,Pop,Germany
88,Fette Wilde Jahre,Juli,Pop,Germany
90,Scheinwerfer an,SOPHIA,Pop,Germany
91,Jerusalema (feat. Nomcebo Zikode) [Edit],Master KG,Dance,Germany
94,Lost (XXV),Robbie Williams,Pop,Germany
95,"Was ich will, bist du (Ohne dich)",Ben Zucker,German Pop,Germany
96,Santiano (feat. Nathan Evans),Santiano,German Folk,Germany
97,Cider,"01099, PAUL,$OHO BANI","Hip Hop,Rap",Germany
3,Wonder,Twmmy,Pop,Greece
5,Poios Papadopoulos,"Goin' Through,Isorropistis",World,Greece
6,Poios Ticheros,Georgios Sabanis,Pop,Greece
8,Un Jour De Printemps (Remix),Degiheugi,Instrumental,Greece
9,Champion,Aural Fragment,Electronic,Greece
10,Afou Se Vrika De S' Afino (Pt. 2 - Fos),Konstantinos Argiros,"Singer,Songwriter",Greece
12,The Railway Station,Evanthia Reboutsika,Pop,Greece
13,"Ego Gia Dyo (20 Hronia Eleana Vrachali, Paidi Diko Sou)",Christos Mastoras,Europe,Greece
14,Creep,Kid Moxie,Pop,Greece
16,Arketa (Live),Panos Kiamos,Pop,Greece
17,Tie Your Mother Down,Queen,Rock,Greece
18,So Hard to Stay Sober,Gadless,Alternative Folk,Greece
19,You and I,Queen,Rock,Greece
20,Eye in the Sky (DJ Style Remix),"James Farrelli,Sarah Menescal",Electronic,Greece
21,Tora Skorpizesai,Stamatis Gonidis,Pop,Greece
22,"Dyo Epistrofes (Original TV Series ""To Kokkino Potami"" Soundtrack)","Konstantinos Argiros, Melina Aslanidou,Christos Papadopoulos","Singer,Songwriter",Greece
23,on the precipice of defeat,Shiro Sagisu,Anime,Greece
24,All I Need,Forester,Dance,Greece
25,Aviateur,Véronique Jannot,French Pop,Greece
26,All the Lives I Never Led,Iam Nothe,Alternative,Greece
27,Ethnic Techno,Ganger Baster,House,Greece
28,Miniatiure World (Nick Devon Remix),Monarke,Electronic,Greece
29,Agapi Allounou,Prodromos,Pop,Greece
30,Night,KastomariN,Electronic,Greece
31,Pame Apan' 'S Enan Rasin,"Pela Nikolaidou,Babis Kemanetzidis",Alternative Folk,Greece
32,Once a Day,Connie Smith,Country,Greece
33,"Album for the Young, Op. 68: No. 8. The Wild Rider",Peter Frankl,Classical,Greece
34,Rediscovered (Miguel Bastida Remix),"Hollen,Stefano Noferini",House,Greece
35,Sleeping Dogs (Original),Hollen,Techno,Greece
36,Μαγική Πόλη,Διονύσης Θεοδόσης,World,Greece
37,Me olvidé de vivir,Royal Philharmonic Orchestra,Easy Listening,Greece
40,You Will Never Know,Imany,Pop,Greece
41,Pio Psila,Vegas,Pop,Greece
42,Alors on danse (Mowgli Remix),Stromae,Dance,Greece
43,Je veux,ZAZ,French Pop,Greece
44,Fila Me Akoma (Baciami Ancora),"Panos Mouzourakis,Maraveyas",Pop,Greece
45,In and Out of Love (feat. Sharon den Adel) [Radio Edit],Armin van Buuren,Dance,Greece
